Speaker tag,Transcript
1,"navigated the city without using a single word of English grammar. You use the engine."
2," That feels powerful. I feel like I just leveled up in a video game."
1," You did. But now comes the hard part. The driver wants money, and then you need to go buy some vegetables. We are now entering section three, scenario two, the shopkeeper."
2," This is where we move from navigation to pure transaction, and the source mentions a huge a philosophical shift here, the experiencer dative."
1," This is the hurdle where most English speakers trip and fall. It's a fundamental rewiring of how you see the world."
2," Explain."
1," In English, we are incredibly egocentric. I want coffee, I need water, I am the hero of the sentence, I am the one doing the wanting. The action originates with me."
2," Right. Subject verb object. I learned that in third grade."
1," Kannada sees the world completely differently. Needs, feelings, desires, knowledge, these are not things you do, these are things that happen to you. You are the experiencer, not the agent."
2," No, I don't say I want coffee."
1," You say, to me, coffee is needed."
2," To me, that's the dative case."
1," Yes, and to me in Kannada is nanage, pronounced na na ge."
2," na na ge"
1," And the word for needed or wanted is beku, pronounced beku."
2," beku So the formula is always nanage plus the thing plus beku."
1," Always. Nanage coffee beku. Nanage water beku. Nanage change beku."
2," But if I don't want it, the shopkeeper is trying to sell me these really expensive mangoes."
1," Then you need the shield. The direct opposite of beku is beta, pronounced beta."
2," beta"
1," It is polite, but it is final. If a hawker is bothering you, you don't need to get angry or yell, you just hold up your hand and say firmly but politely, sir, beta."
2," Or the full sentence, nanage beta. To me, it is not needed."
1," Exactly."
2," Nanage beku, nanage beta. That's the binary code of all commerce right there. But we can't shop without knowing the numbers. We have to tackle deck one and two from our notes."
1," The numbers are absolutely non-negotiable. If you don't know the numbers, you will overpay, period. It's a guarantee."
2," Okay, let's drill the base one through 10. The source says, if you know these 10, you can basically unlock all the others. I'm going to say the number, you give me the Kannada and I'll try to repeat the pronunciation correctly."
1," Let's do it. Fire away."
2," One."
1," Andu, pronounced O-H-N-D-U."
2," O-H-N-D-U. Two."
1," Eradu, pronounced Y-A-I-R-A-D-U."
2," Y-A-I-R-A-D-U."
1," Three. Muru, pronounced M-O-R-U."
2," Muru. Four."
1," Nalku, pronounced N-A-H-L-K-U. Notice that L sound."
2," N-A-H-L-K-U."
1," Five. Idu, pronounced I-D-U. I do. Okay, halfway. Six."
2," Aru, pronounced A-H-R-U."
1," A-H-R-U. Seven."
2," Yelu, pronounced Y-E-L-U."
1," Y-E-L-U. Eight."
2," Ohtu, pronounced Y-E-N-T-U."
1," Y-E-N-T-U. Nine."
2," Umbattu, pronounced U-M-B-A-H-T-U."
1," U-M-B-A-H-T-U. And 10."
2," Hattu, pronounced H-U-T-U. Remember our pita H shift? Patu becomes hattu."
1," H-U-T-U. Okay. Andu, Eradu, Muru, Nalku, Idu, Aru, Yelu, Ontu, Umbattu, Hattu. I think I have it."
2," That's the foundation."
1," The prices are rarely a neat 8 rupees. They're 12, 18, 25 rupees. How do the teens work? This is where that sandy concept, the gluing, comes back in a big way. Let's take 11. It's just 10 plus one."
2," Right."
1," So, hattu plus andu."
2," Right."
1," But you don't say hattu andu. It's clunky. The sounds get smoothed and smashed together, becomes hanandu."
2," Hanandu. Okay, it's a contraction."
1," Exactly. 12 is hattu plus eradu. It becomes haneradu."
2," Haneradu."
1," Haneradu. You hear that prefix pattern, han."
2," Yeah. And then I see in the notes that for 13 onwards, the prefix changes slightly to hatti."
1," Yes. So, 13 is hatti plus muru."
2," Hatti plus 14 would be"
1," Yeah."
2," Hatti plus nalku."
1," 15. Hatti plus idu. Hatti plus idu."
2," Yeah."
1," And so on. So, if you hear that hatti sound, you know you're in the teens."
2," Okay, this is logical. I can follow this. What about the big round numbers? 50, 100."
1," 50 is ivattu, pronounced I-V-U-T-T-U."
2," I-V-U-T-T-U."
